model,family,accuracy,precision,recall,roc_auc,n_sent,n_test,profit_vnd,total_cost_vnd,roi
Logistic Regression,Propensity,0.12745,0.11971546766219353,0.9991578947368421,0.7798696946621874,19822,20000,13819000,9911000,1.3943093532438704
XGBoost,Propensity,0.53165,0.18367716250452407,0.8547368421052631,0.7583765405001865,11052,20000,14774000,5526000,2.673543250090481
LightGBM,Propensity,0.1877,0.1270635048663763,0.9949473684210526,0.7815271967151922,18597,20000,14331500,9298500,1.541270097327526
Logistic Regression (Uplift),Uplift,0.14115,0.12061718269427928,0.9907368421052631,,19508,20000,13776000,9754000,1.4123436538855854
XGBoost (Uplift),Uplift,0.5838,0.17608624632473047,0.6808421052631579,,9183,20000,11578500,4591500,2.5217249264946098
LightGBM (Uplift),Uplift,0.1813,0.11803547066848567,0.9107368421052632,,18325,20000,12467500,9162500,1.3607094133697135
